teff,logg,feh,A,lambda0,b,n,A_err,lambda0_err,b_err,n_err,EW_numeric,EW_analytic
6500,4.0,0.5,0.9996029825900422,4862.673767273172,2.0748626694029793,0.3747580703822042,0.03901306129872841,0.0052115144728152665,0.23994046516666862,0.016173883753220507,6.571594525556346,16.67610624451236
6500,4.5,-0.5,0.9593328411394584,4862.69046196999,1.6197093432265892,0.45943726121810263,0.01727695763624427,0.003382402550806909,0.07324946747438679,0.008780706603508067,5.009072417939294,7.3594504288686995
6500,4.5,0.0,0.9775216861273881,4862.690757129235,1.7774275900403849,0.4209539076991371,0.025634549300251237,0.004310293871867466,0.12556863615686467,0.011861198647815041,5.652150008459229,10.093245547377169
6500,4.5,0.5,0.9972969747349458,4862.691176310118,1.8613641221190755,0.3779775773149052,0.038988100604692426,0.005173162298404852,0.21417309842605414,0.015896089912004113,6.202552506427031,14.539355663365647
6500,5.0,-0.5,0.922345620585057,4862.679321859257,1.6763727748260455,0.4830691290656667,0.016221098750653338,0.003796994226664929,0.07120247792383452,0.009172622719166173,4.780594414755823,6.604409532280566
6500,5.0,0.0,0.956751848843785,4862.696524560899,1.7812228463471649,0.4296218684890293,0.025118012273433982,0.004502375629173037,0.12392084610643032,0.012154581203832707,5.481601412107494,9.412696609213603
6500,5.0,0.5,0.9963044696148216,4862.667985068955,1.7580599719854353,0.3738866124238477,0.04022288091279163,0.004811030081892575,0.21075198756526198,0.015974159851059287,6.054476574397384,14.185091305667777
6700,3.5,-0.5,0.998864500585015,4862.684789244464,2.218892977198841,0.42021543562739017,0.018112220381029526,0.003381450949833126,0.10843232304840708,0.008695011498550904,6.513110879061943,12.932448213956569
6700,3.5,0.0,0.9999723451840599,4862.684809760859,2.5060575037228507,0.4083362325500851,0.02476540451107302,0.004618393637072409,0.1708689590041655,0.011900539925183239,6.987225178850334,15.751473738197522
6700,3.5,0.5,0.9991887503181599,4862.667830632914,2.7762912028249582,0.3910701359755671,0.0337109635202341,0.005796564682918082,0.26650493098620975,0.015889527281486043,7.395654974835005,19.647203070316518
6700,4.0,-0.5,0.9980137128054577,4862.679155990141,2.0374681648879185,0.41658612149172464,0.01670251288004436,0.00290953386292424,0.09261721133261366,0.007761981660013826,6.245057834393412,12.13011577628345
6700,4.0,0.0,0.9951523436959347,4862.684941747742,2.3328563302705874,0.40514859176219076,0.023320942793781937,0.004124389398074395,0.15167971458194168,0.010938186950590024,6.73320598230217,14.901695670555362
6700,4.0,0.5,0.9962778638790822,4862.685172928933,2.598821409594969,0.3868554326312691,0.03241619065638518,0.0054223155268590265,0.24320664429764616,0.014860996430816953,7.178967272102023,18.92224669593542
6700,4.5,-0.5,0.9493752427774097,4862.68491971274,2.0212072645058474,0.45991975383115247,0.01446472009817166,0.0033314594294652964,0.07727538709634453,0.007886354181212684,5.660185362509432,9.067888768811345
6700,4.5,0.0,0.9831117426890008,4862.6907436217325,2.1314279884948895,0.4203917690228977,0.021643862007361955,0.004012549181404242,0.1264732113213403,0.010443977285185585,6.265479418180917,12.213799482520256
6700,4.5,0.5,0.9946422179675389,4862.696833488963,2.3167914643151186,0.3865968439562696,0.03189299333832087,0.005026502844019328,0.21425334300391286,0.014174403389161752,6.801373485568302,16.87403630452844
6700,5.0,-0.5,0.9009245401081319,4862.69033312707,2.136778502505299,0.4914914769347876,0.012927594077251059,0.003774938805882063,0.07301007224717843,0.008145674449317955,5.391902632921148,7.952174272524719
6700,5.0,0.0,0.9442207168546132,4862.690831318645,2.2190344578257855,0.4388434898154427,0.019929579088523584,0.00436986092867231,0.12188838761872701,0.010629496191945444,6.047117391089733,11.000915023173935
6700,5.0,0.5,0.9755767308867733,4862.638858083024,2.291607745998102,0.3902268073901879,0.03146563082135433,0.00415976482210769,0.21146061291574011,0.014336461726966974,6.6189314660747565,15.932519283856402
